filename,file_sha256,time_origin,sequence,repetition,duty_percent,payload_bits,coded_body_bits,sample_count,sample_rate_hz,frame_start_seconds,message_seconds,required_off_tail_seconds,validation_role
frames/relative/rs18-sequence-33.csv,5ef39924b58bfdc7ebcdccf82809eebe50f9bc67017ccb7b8ba2f19e32052b57,relative,33,4,45.0,111001000111101100010011100010,111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/absolute/rs18-sequence-33.csv,b349cec18468158c3bbc94e63b28091d05a66c2e7cd741481053899a477a57d8,absolute,33,4,45.0,111001000111101100010011100010,111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/relative/rs18-sequence-34.csv,a488b783673be75c991cb8550486f8e9574db48318482319b7764dfb75f34db3,relative,34,4,40.0,111001000111101100010011100010,111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/absolute/rs18-sequence-34.csv,b739efe1f7ce1d0b858816b66f213e0e47401c74d356b4b7505bec0e17dd1073,absolute,34,4,40.0,111001000111101100010011100010,111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/relative/rs18-sequence-35.csv,0bd8c275aeb2b65e9858bd24c3276492d2e75c29195c6ba6c7edbaf171114b16,relative,35,4,35.0,111001000111101100010011100010,111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/absolute/rs18-sequence-35.csv,b6bf5b02d9b9eba19dd728d079b07c0f084679c91f4b4237b71827ed210f34f4,absolute,35,4,35.0,111001000111101100010011100010,111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/relative/rs18-sequence-36.csv,73a8b9ba573643fdee9aab4286b47635db64259430cafb6e51370aa9ac15787c,relative,36,4,30.0,111001000111101100010011100010,111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/absolute/rs18-sequence-36.csv,be9fba2055f1648825d3c21587653b0933146d53165a1daa59442c481546a5dd,absolute,36,4,30.0,111001000111101100010011100010,111001000111101100010011100010100111110110111010100011000100100100010101100110100011100011,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/relative/rs18-sequence-37.csv,e82a343d4cb7ad31650719aeaa7361f3ea4c98e4f46e77214f21ef8120e04b11,relative,37,5,1.0,100110101110100100011000100010,100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/absolute/rs18-sequence-37.csv,b67c84ed3d08e5060314a958bf4c1fc01e66f772803eb10301face12b0e33343,absolute,37,5,1.0,100110101110100100011000100010,100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/relative/rs18-sequence-38.csv,01e998a3c6252b187fd94c90c1b978c4b1f51f2bfdfe48f7e667b5984c896da4,relative,38,5,100.0,100110101110100100011000100010,100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/absolute/rs18-sequence-38.csv,ddf76e19824234ee78611c667000845b86b38a88644e2fe51ac0efa20eade169,absolute,38,5,100.0,100110101110100100011000100010,100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/relative/rs18-sequence-39.csv,2de66ed6c778a4051e6ccd7cc576432c55700442393308bc708b1155a71f8a45,relative,39,5,50.0,100110101110100100011000100010,100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/absolute/rs18-sequence-39.csv,6d8712c00d9a4752ec298448cecd8a71adda2d1ee5e763cf9814ea1d7e63df9e,absolute,39,5,50.0,100110101110100100011000100010,100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/relative/rs18-sequence-40.csv,c11e412b295113eae804faed91358f8a89a6371693827b3a0e3ecc438eb321c5,relative,40,5,45.0,100110101110100100011000100010,100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/absolute/rs18-sequence-40.csv,7ce90a94616fce7c8741949974ad8be3085068b0bc0b745ffd44e9d1d3357fd2,absolute,40,5,45.0,100110101110100100011000100010,100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/relative/rs18-sequence-41.csv,fa9372c9975848c35a9fcc92131aa256e6bc608d2461baaaac2e8be460c1cedd,relative,41,5,40.0,100110101110100100011000100010,100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/absolute/rs18-sequence-41.csv,d0da3c6b85b9971836416b5e2cb4de110d47ce37539aa26e5c796493df9ebdea,absolute,41,5,40.0,100110101110100100011000100010,100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/relative/rs18-sequence-42.csv,ad906f5fd672fd7acad6a242e0142daa33d61b53e0717d27966c558f8799c39b,relative,42,5,35.0,100110101110100100011000100010,100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/absolute/rs18-sequence-42.csv,f0779bc33fef6124cec2f5906744c21f221ef66733f4703748e7a3bb7fe1d0ac,absolute,42,5,35.0,100110101110100100011000100010,100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/relative/rs18-sequence-43.csv,f3f492447943d3c3999b55df0582db68dbab22320270db5d714ed2aeb5535174,relative,43,5,30.0,100110101110100100011000100010,100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/absolute/rs18-sequence-43.csv,132566dac3a1fc3b54890d21ad9cd9619fc005dbf3266a182283d174a59f793f,absolute,43,5,30.0,100110101110100100011000100010,100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/relative/rs18-sequence-44.csv,7e5bbfd3bbdda2f1825263808c6b512faa90dd098d6e90a8f11fa64ee1bf077f,relative,44,5,25.0,100110101110100100011000100010,100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/absolute/rs18-sequence-44.csv,b91e3917926c75bbf037405160ef55255a2cb67f158a96112d53335352ed0d2d,absolute,44,5,25.0,100110101110100100011000100010,100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/relative/rs18-sequence-45.csv,08c43a3b033381cfac62627f879451e03db4627926302e755721927b9d2c0f19,relative,45,5,10.0,100110101110100100011000100010,100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
frames/absolute/rs18-sequence-45.csv,92927ad9af9d6530e67f74db5501a8a8f17f9f1007226b7883c3f606469cae3c,absolute,45,5,10.0,100110101110100100011000100010,100110101110100100011000100010110101101001110000010000011111100101001100011010011001001001,13100,200,0.0,53.0,12.5,payload-reference-held-out-retrospective
